,Symbol,Industry
503,OIL,Oil Gas & Consumable Fuels
504,OLECTRA,Automobile and Auto Components
505,PAYTM,Financial Services
506,OPTIEMUS,Telecommunication
507,OFSS,Information Technology
508,ORCHPHARMA,Healthcare
509,ORIENTCEM,Construction Materials
510,ORIENTELEC,Consumer Durables
511,ORISSAMINE,Metals & Mining
512,POLICYBZR,Financial Services
513,PCBL,Chemicals
514,PGEL,Consumer Durables
515,PIIND,Chemicals
516,PNBHOUSING,Financial Services
517,PNCINFRA,Construction
518,PTC,Power
519,PTCIL,Capital Goods
520,PVRINOX,Media Entertainment & Publication
521,PAGEIND,Textiles
522,PAISALO,Financial Services
523,PARADEEP,Chemicals
524,PARAS,Capital Goods
525,PATANJALI,Fast Moving Consumer Goods
526,PATELENG,Construction
527,PERSISTENT,Information Technology
528,PETRONET,Oil Gas & Consumable Fuels
529,PFIZER,Healthcare
530,PHOENIXLTD,Realty
531,PIDILITIND,Chemicals
532,PEL,Financial Services
533,PPLPHARMA,Healthcare
534,POLYMED,Healthcare
535,POLYCAB,Capital Goods
536,POLYPLEX,Capital Goods
537,POONAWALLA,Financial Services
538,PFC,Financial Services
539,POWERGRID,Power
540,POWERMECH,Construction
541,PRAJIND,Capital Goods
542,PRESTIGE,Realty
543,PRICOLLTD,Automobile and Auto Components
544,PRINCEPIPE,Capital Goods
545,PGHL,Healthcare
546,PGHH,Fast Moving Consumer Goods
547,PRUDENT,Financial Services
548,PNB,Financial Services
549,PURVA,Realty
550,QUESS,Services
551,RRKABEL,Capital Goods
552,RBLBANK,Financial Services
553,RECLTD,Financial Services
554,RHIM,Capital Goods
555,RITES,Construction
556,RADICO,Fast Moving Consumer Goods
557,RVNL,Construction
558,RAILTEL,Telecommunication
559,RAIN,Chemicals
560,RAINBOW,Healthcare
561,RAJESHEXPO,Consumer Durables
562,RALLIS,Chemicals
563,RKFORGE,Automobile and Auto Components
564,RAMKY,Construction
565,RCF,Chemicals
566,RATEGAIN,Information Technology
567,RATNAMANI,Capital Goods
568,RTNINDIA,Consumer Services
569,RAYMONDLSL,Textiles
570,RAYMOND,Realty
571,REDINGTON,Services
572,REDTAPE,Consumer Durables
573,RELIANCE,Oil Gas & Consumable Fuels
574,RELINFRA,Power
575,RELIGARE,Financial Services
576,RESPONIND,Consumer Durables
577,RBA,Consumer Services
578,ROLEXRINGS,Automobile and Auto Components
579,ROSSARI,Chemicals
580,ROUTE,Telecommunication
581,SBFC,Financial Services
582,SBICARD,Financial Services
583,SBILIFE,Financial Services
584,SJVN,Power
585,SKFINDIA,Capital Goods
586,SRF,Chemicals
587,SAFARI,Consumer Durables
588,KALAMANDIR,Consumer Services
589,SAMHI,Consumer Services
590,SAMMAANCAP,Financial Services
591,MOTHERSON,Automobile and Auto Components
592,SANDUMA,Oil Gas & Consumable Fuels
593,SANGHIIND,Construction Materials
594,SANGHVIMOV,Capital Goods
595,SANOFI,Healthcare
596,SANSERA,Automobile and Auto Components
597,SAPPHIRE,Consumer Services
598,SARDAEN,Metals & Mining
599,SAREGAMA,Media Entertainment & Publication
600,SCHAEFFLER,Automobile and Auto Components
601,SCHNEIDER,Capital Goods
602,SENCO,Consumer Durables
603,SEQUENT,Healthcare
604,SHARDAMOTR,Automobile and Auto Components
605,SHAREINDIA,Financial Services
606,SFL,Consumer Durables
607,SHILPAMED,Healthcare
608,SCI,Services
609,SBCL,Capital Goods
610,SHREECEM,Construction Materials
611,RENUKA,Fast Moving Consumer Goods
612,SHRIRAMFIN,Financial Services
613,SHRIPISTON,Automobile and Auto Components
614,SHYAMMETL,Capital Goods
615,SIEMENS,Capital Goods
616,SIGNATURE,Realty
617,SINDHUTRAD,Diversified
618,SOBHA,Realty
619,SOLARINDS,Chemicals
620,SONACOMS,Automobile and Auto Components
621,SONATSOFTW,Information Technology
622,SOUTHBANK,Financial Services
623,SPANDANA,Financial Services
624,STARCEMENT,Construction Materials
625,STARHEALTH,Financial Services
626,SBIN,Financial Services
627,SAIL,Metals & Mining
628,SSWL,Automobile and Auto Components
629,SWSOLAR,Construction
630,STLTECH,Telecommunication
631,STAR,Healthcare
632,STYLAMIND,Consumer Durables
633,SUBROS,Automobile and Auto Components
634,SUDARSCHEM,Chemicals
635,SULA,Fast Moving Consumer Goods
636,SUMICHEM,Chemicals
637,SPARC,Healthcare
638,SUNPHARMA,Healthcare
639,SUNTV,Media Entertainment & Publication
640,SUNDARMFIN,Financial Services
641,SUNDRMFAST,Automobile and Auto Components
642,SUNFLAG,Metals & Mining
643,SUNTECK,Realty
644,SUPRAJIT,Automobile and Auto Components
645,SUPREMEIND,Capital Goods
646,SPLPETRO,Chemicals
647,SUPRIYA,Healthcare
648,SURYAROSNI,Capital Goods
649,SUVENPHAR,Healthcare
650,SUZLON,Capital Goods
651,SWANENERGY,Diversified
652,SYMPHONY,Consumer Durables
653,SYNGENE,Healthcare
654,SYRMA,Capital Goods
655,TARC,Realty
656,TBOTEK,Consumer Services
657,TCIEXP,Services
658,TDPOWERSYS,Capital Goods
659,TVSMOTOR,Automobile and Auto Components
660,TVSSCS,Services
661,TANLA,Information Technology
662,TATACHEM,Chemicals
663,TATACOMM,Telecommunication
664,TCS,Information Technology
665,TATACONSUM,Fast Moving Consumer Goods
666,TATAELXSI,Information Technology
667,TATAINVEST,Financial Services
668,TATAMOTORS,Automobile and Auto Components
669,TATAPOWER,Power
670,TATASTEEL,Metals & Mining
671,TATATECH,Information Technology
672,TTML,Telecommunication
673,TEAMLEASE,Services
674,TECHM,Information Technology
675,TECHNOE,Construction
676,TIIL,Capital Goods
677,TEGA,Capital Goods
678,TEJASNET,Telecommunication
679,TEXRAIL,Capital Goods
680,NIACL,Financial Services
681,RAMCOCEM,Construction Materials
682,THERMAX,Capital Goods
683,TIRUMALCHM,Chemicals
684,THOMASCOOK,Consumer Services
685,TI,Fast Moving Consumer Goods
686,TIMETECHNO,Capital Goods
687,TIMKEN,Capital Goods
688,TIPSMUSIC,Media Entertainment & Publication
689,TITAGARH,Capital Goods
690,TITAN,Consumer Durables
691,TORNTPHARM,Healthcare
692,TORNTPOWER,Power
693,TRENT,Consumer Services
694,TRIDENT,Textiles
695,TRIVENI,Fast Moving Consumer Goods
696,TRITURBINE,Capital Goods
697,TIINDIA,Automobile and Auto Components
698,UCOBANK,Financial Services
699,UNOMINDA,Automobile and Auto Components
700,UPL,Chemicals
701,UTIAMC,Financial Services
702,UJJIVANSFB,Financial Services
703,ULTRACEMCO,Construction Materials
704,UNIONBANK,Financial Services
705,UBL,Fast Moving Consumer Goods
706,UNITDSPR,Fast Moving Consumer Goods
707,USHAMART,Capital Goods
708,UTKARSHBNK,Financial Services
709,VGUARD,Consumer Durables
710,VMART,Consumer Services
711,VIPIND,Consumer Durables
712,VSTIND,Fast Moving Consumer Goods
713,WABAG,Utilities
714,VAIBHAVGBL,Consumer Durables
715,DBREALTY,Realty
716,VTL,Textiles
717,VARROC,Automobile and Auto Components
718,VBL,Fast Moving Consumer Goods
719,MANYAVAR,Consumer Services
720,VEDL,Metals & Mining
721,VEEDOL,Oil Gas & Consumable Fuels
722,VENKEYS,Fast Moving Consumer Goods
